Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Vitamin_A_µg,Vitamin_B_complex_mg,Vitamin_C_mg,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg,Sodium_mg,Category,Cuisine,Meal_Type
"tomato and cucumber salad, 1 serving(s)",7.6,1.6,0.0,0.0,0.4,0.0,29.4,0.5,4.8,0.03,0.99,9.17,3.3,1.03,82.9,8.3,0.5,10,Lunch,Pakistani,Lunch
"Mission Naan Bread Garlic & Herb(JLH), 70 g(1naan=70g)",80.8,13.2,0.0,2.0,2.4,0.0,0.0,0.26,2.5,0.09,0.93,0.76,16.7,0.54,76.4,12.9,0.06,276,Breakfast,Pakistani,Breakfast
"Uncle Ben's Bistro Express Curry With Basmati Rice, 125 mL (90 g)",60.0,12.4,0.0,0.8,1.2,0.0,0.0,0.57,1.9,0.06,0.61,10.71,20.2,0.97,13.7,13.6,0.7,245,Dinner,Pakistani,Dinner
"Ckm Vegetable Fritters, 6 fritter",112.8,19.2,0.0,2.4,4.8,0.0,49.9,0.4,0.4,0.03,0.35,10.46,35.3,1.68,114.2,20.0,0.54,123,Lunch,Pakistani,Lunch
"Rice Basmati Rice, 1.5 cup",123.2,27.2,0.0,0.4,2.4,0.0,8.9,0.51,11.1,0.13,0.24,1.49,17.3,0.99,102.4,14.9,0.99,142,Lunch,Pakistani,Lunch
"Deli Barfi, 2 per cubic inch",47.2,6.4,0.0,2.0,1.2,0.0,37.5,0.27,0.6,0.1,0.25,11.19,2.6,0.34,88.6,0.3,0.52,259,Lunch,Pakistani,Lunch
"Homemade Idly South , 8 idly",124.8,25.6,0.0,0.0,6.4,0.0,0.0,0.12,0.3,0.03,0.12,5.54,62.2,0.74,140.6,11.4,0.37,216,Lunch,Pakistani,Lunch
"Beans and Potato, 2 katori",85.6,0.0,0.0,0.0,0.0,0.0,4.2,0.26,1.8,0.07,0.77,9.02,34.8,0.13,292.2,0.8,0.63,548,Dinner,Pakistani,Lunch
"Sainsburys Pilau Rice, 1 container (250 gs ea.)",168.0,35.6,0.0,2.0,3.6,0.0,13.0,0.1,5.8,0.06,0.33,6.24,8.0,1.84,57.3,9.4,0.73,35,Dinner,Pakistani,Lunch
"Shahi Paneer Korma (Cottage Cheese Curry), 60 g",30.8,2.0,0.0,2.4,0.8,0.0,0.0,0.24,3.3,0.13,0.42,11.7,43.0,0.84,140.0,14.8,0.13,254,Dinner,Pakistani,Dinner
"Popadom, 2 portion",52.8,4.0,0.0,4.0,1.6,0.0,66.0,0.29,4.0,0.12,0.29,9.37,44.0,0.06,197.1,15.3,0.73,504,Dinner,Pakistani,Lunch
"Homemade Masala Khichadi Rice, 1.67 Plate",220.0,14.0,0.0,14.0,10.4,0.0,0.0,0.04,1.6,0.08,0.34,9.77,15.3,1.76,98.8,33.8,0.65,91,Lunch,Pakistani,Lunch
"South Food Thali, 1 meal",180.0,0.0,0.0,4.0,4.0,0.0,3.3,0.34,4.4,0.04,0.22,13.65,3.8,1.29,137.1,2.0,0.47,277,Dinner,Pakistani,Lunch
"Chicken Tikka, 2 portion",124.0,2.4,0.0,3.2,20.8,0.0,11.7,0.03,3.8,0.11,0.74,12.04,19.4,0.15,161.2,16.1,0.61,797,Dinner,Pakistani,Lunch
"Moong Ni Dal (Split Green Lentils) Cooked, 3 serving",180.8,15.2,0.0,11.6,5.2,0.0,38.6,0.33,0.4,0.13,0.19,3.63,2.9,0.67,305.2,2.9,0.67,10,Dinner,Pakistani,Lunch
"Generic Cucumber Sauce () Yogurt, 68.6 g",30.4,4.0,0.0,1.2,1.2,0.0,11.9,0.02,1.6,0.12,0.17,3.66,31.1,0.08,291.5,17.1,0.41,247,Dinner,Pakistani,Lunch
"Snack Veg Puff (Aloo Patty), 0.25 piece",28.0,4.0,0.0,1.2,0.8,0.0,0.0,0.18,4.5,0.14,0.4,1.85,3.1,0.08,261.2,15.2,0.1,357,Dinner,Pakistani,Lunch
"Sainsburys Bombay Aloo, 100 g",38.0,3.2,0.0,2.0,0.8,0.0,0.0,0.1,8.3,0.02,0.42,9.25,8.2,0.55,139.3,3.8,0.3,32,Dinner,Pakistani,Lunch
"Kofta Curry, 40 g",17.6,0.8,0.0,0.8,2.0,0.0,0.0,0.23,9.2,0.09,0.78,1.6,9.5,0.97,135.9,7.2,0.43,162,Dinner,Pakistani,Dinner
"Popcorn Fit Popcorn, 14 g (about 4 cups)",24.0,4.0,0.0,0.8,0.8,0.0,57.6,0.05,12.7,0.15,0.12,7.38,22.0,0.1,103.4,8.1,0.16,347,Lunch,Pakistani,Lunch
"Home Made Soya Chunks/ Nutrela Sabji With Onion Tomato & Spices, 0.68 cup",64.0,10.4,0.0,1.2,11.2,0.0,37.0,0.26,6.1,0.11,0.21,4.1,33.7,1.09,118.3,12.9,0.91,131,Lunch,Pakistani,Lunch
"Chicken Tikka, 0.67 portion",41.2,0.8,0.0,1.2,6.8,0.0,3.5,0.42,6.1,0.13,0.85,1.71,32.0,0.35,145.9,11.0,0.44,309,Dinner,Pakistani,Dinner
