Food Name,Calories,Carbohydrates (g),Sugars (g),Fat (g),Protein (g),Fiber (g),Vitamin_A_µg,Vitamin_B_complex_mg,Vitamin_C_mg,Vitamin_D_µg,Vitamin_E_mg,Vitamin_K_µg,Calcium_mg,Iron_mg,Potassium_mg,Magnesium_mg,Zinc_mg,Sodium_mg,Category,Cuisine,Meal_Type
"Homemade Kala Chana, 1/4 cup",16.4,2.8,0.0,0.4,0.8,0.0,0.0,0.06,0.3,0.16,0.37,16.13,23.1,0.29,65.8,16.9,0.81,359,Snack,Pakistani,Snack
Vegetable Samosa,122.0,16.4,0.0,5.2,2.4,0.0,52.4,0.58,1.9,0.07,0.69,16.46,31.4,0.56,142.4,3.0,1.38,239,Snack,Pakistani,Snack
"Curd Dahi, 1 small bowl 50gm",26.4,2.4,0.0,1.2,1.6,0.0,0.0,0.28,2.8,0.1,0.34,26.05,14.1,0.18,70.1,7.6,0.15,398,Snack,Global,Snack
"Samosa (Potato-filled), 1 piece",123.2,12.8,0.0,7.2,2.0,0.0,6.0,0.2,1.9,0.11,0.14,5.7,7.2,0.25,237.8,9.0,1.09,160,Snack,Pakistani,Snack
"Homemade Roasted Masala Salmon, 2.25 ounces",56.4,2.0,0.0,2.8,7.2,0.0,0.0,0.26,3.9,0.17,0.03,3.51,22.1,0.39,166.9,8.2,0.75,18,Snack,Pakistani,Snack
"Samosa Vegetable Samosa, 1.5 samosa",150.0,9.2,0.0,4.8,1.2,0.0,21.5,0.14,5.1,0.17,0.13,3.0,15.0,1.08,4.5,6.4,0.18,36,Snack,Pakistani,Snack
"Homemade Kala Chana, 1/2 cup",32.8,5.6,0.0,0.4,1.6,0.0,3.1,0.0,10.8,0.03,1.41,9.35,14.5,0.39,121.8,16.4,0.07,387,Snack,Pakistani,Snack
"M&s Modern Crispy Chaat Selection, 3 pieces",68.0,7.6,0.0,3.2,2.8,0.0,0.0,0.29,5.9,0.02,0.1,15.72,58.5,1.38,126.8,5.5,0.07,298,Snack,Pakistani,Snack
"Co-op 12 Selection Vegetable Pakora, 2 pakora",40.0,3.6,0.0,1.2,1.2,0.0,64.6,0.51,3.6,0.04,0.71,4.21,28.8,0.87,151.3,1.4,0.82,395,Snack,Pakistani,Snack
"Mango Lassi, 1.5 cup",82.8,18.4,0.0,0.8,2.4,0.0,8.0,0.06,5.4,0.2,0.09,3.89,27.5,0.98,126.1,17.9,0.59,34,Snack,Pakistani,Snack
